// this file was created using the eMolecule database on 7/27/2014
//type	idx	codeName
lin74	0	C
lin74	1	c
lin74	2	*:*:*:*:*
lin74	3	*-*:*:*:*
lin74	4	*-*:*:*:*:*
lin74	5	c:c
lin74	6	c:c:c
lin74	7	*-*-*:*:*:*
lin74	8	*-*-*:*:*
lin74	9	*-*-*:*:*:*:*
lin74	10	c:c:c:c
lin74	11	*:*:*:*:*:*
lin74	12	*:*:*:*:*:*:
lin74	13	*-*:*:*:*:*:*
lin74	14	O
lin74	15	*-*:*:*:*:*:*:
lin74	16	*-*-*-*:*:*:*
lin74	17	*-*-*-*:*
lin74	18	*-*-*-*:*:*
lin74	19	*-*-*-*:*:*:*:*
lin74	20	*-*-*:*:*:*:*:*
lin74	21	N
lin74	22	c:c:c:c:c:c:
lin74	23	C-N
lin74	24	C-c
lin74	25	C-c:c
lin74	26	C-C
lin74	27	*-*-*-*-*
lin74	28	C-c:c:c
lin74	29	*-*-*-*-*:*
lin74	30	*-*-*-*-*:*:*
lin74	31	*-*-*-*-*:*:*:*
lin74	32	*-*:*:*:*-*
lin74	33	C=O
lin74	34	*-*:*:*:*:*-*
lin74	35	C-C-N
lin74	36	*-*-*-*-*-*
lin74	37	N-C=O
lin74	38	*-*-*-*-*-*:*:*
lin74	39	*-*-*-*-*-*:*
lin74	40	*-*:*:*-*
lin74	41	c:n
lin74	42	n
lin74	43	*-*-*:*:*:*-*
lin74	44	*-*:*:*:*:*:*-*
lin74	45	C-N-C
lin74	46	*-*-*:*:*:*:*-*
lin74	47	c:c:n
lin74	48	*-*-*-*:*:*:*-*
lin74	49	N-c
lin74	50	C-C-N-C
lin74	51	*-*-*-*=*
lin74	52	*-*-*:*:*-*
lin74	53	*-*-*-*-*-*-*
lin74	54	*=*-*:*:*:*:*
lin74	55	*=*-*:*:*:*
lin74	56	*=*-*:*:*
lin74	57	*:*:*:*:*:
lin74	58	c:n:c
lin74	59	C-C-C
lin74	60	*-*-*-*-*-*-*:*
lin74	61	N-c:c
lin74	62	*-*:*:*:*:*:
lin74	63	*-*-*:*-*
lin74	64	C-O
lin74	65	c:c:c:n
lin74	66	N-c:c:c
lin74	67	C-N-c
lin74	68	N-C-c
lin74	69	c:c:n:c
lin74	70	*=*-*-*:*:*:*:*
lin74	71	*=*-*-*:*
lin74	72	*=*-*-*:*:*
lin74	73	*=*-*-*:*:*:*
lin74	74	*-*-*-*:*:*-*
lin74	75	C-C=O
lin74	76	N-C-c:c
lin74	77	C-N-c:c
lin74	78	C-N-C=O
lin74	79	*-*-*-*-*=*
lin74	80	*-*-*-*:*-*
lin74	81	*=*-*:*:*:*:*:*
lin74	82	C-C-C-N
lin74	83	*-*-*:*:*:*:*:
lin74	84	*-*-*-*-*-*-*-*
lin74	85	*=*-*-*-*
lin74	86	*-*-*-*-*-*=*
lin74	87	*-*-*:*:*:*-*-*
lin74	88	O-c
lin74	89	O-c:c
lin74	90	O-c:c:c
lin74	91	O=C-c
lin74	92	*=*-*-*-*:*:*:*
lin74	93	*=*-*-*-*:*
lin74	94	*=*-*-*-*:*:*
lin74	95	*-*-*-*-*-*-
lin74	96	*-*-*-*-*:*:*-*
lin74	97	*-*-*-*-*-*-*-
lin74	98	O=C-c:c
lin74	99	C-N-C-c
lin74	100	C-C-C-C
lin74	101	O=C-N-c
lin74	102	C-C-N-c
lin74	103	*:*:*:*:*:*:*
lin74	104	*:*:*:*:*:*:*:*
lin74	105	*:*:*:*:*:*:*:
lin74	106	*-*:*:*:*:*:*:*
lin74	107	*-*-*:*-*-*
lin74	108	C-O-c
lin74	109	C-O-c:c
lin74	110	C-C-c
lin74	111	*-*-*-*-*-*-*=*
lin74	112	*-*-*:*:*-*-*
lin74	113	*-*:*:*:*:*-*-*
lin74	114	n:c:n
lin74	115	*-*:*:*:*-*-*
lin74	116	*-*-*-*-*:*-*
lin74	117	C-c:n
lin74	118	S
lin74	119	C-C-c:c
lin74	120	c:n:c:n
lin74	121	*:*:*-*:*:*
lin74	122	*:*:*:*-*:*:*:*
lin74	123	*:*-*:*:*
lin74	124	*:*:*-*:*:*:*
lin74	125	*:*-*:*:*:*:*
lin74	126	*:*:*-*:*:*:*:*
lin74	127	*:*-*:*:*:*
lin74	128	*:*:*:*:*-*:*:*
lin74	129	*:*:*:*-*:*:*
lin74	130	*-*:*-*-*
lin74	131	C-C-O
lin74	132	*:*:*:*:*-*:*
lin74	133	*:*:*-*:*
lin74	134	*:*:*:*-*:*
lin74	135	*-*:*:*:*-*-*-*
lin74	136	*-*:*:*:*-*=*
lin74	137	*-*:*:*-*-*
lin74	138	*:*:*:*:*:*-*:*
lin74	139	*-*-*-*-*-*:*-*
lin74	140	C-C-C=O
lin74	141	*-*:*:*:*-*:*:*
lin74	142	*-*:*:*:*-*:*
lin74	143	*-*-*-*:*:*-*-*
lin74	144	*-*-*-*:*-*-*
lin74	145	S-c
lin74	146	c-c
lin74	147	c-c:c
lin74	148	*:*-*-*-*:*
lin74	149	*:*:*-*-*-*:*:*
lin74	150	*:*-*-*-*:*:*:*
lin74	151	*:*-*-*-*:*:*
lin74	152	*-*:*:*:*:*-*=*
lin74	153	*=*-*-*-*-*
lin74	154	c-c:c:c
lin74	155	*-*:*:*:*-*-*=*
lin74	156	*:*-*-*-*-*-*:*
lin74	157	*-*:*:*-*:*:*:*
lin74	158	*-*:*:*-*:*:*
lin74	159	*-*:*:*-*:*
lin74	160	c:n:n
lin74	161	n:n
lin74	162	C-c:n:c
lin74	163	C-n
lin74	164	*:*-*:*:*:*:*:
lin74	165	*-*:*:*-*-*-*
lin74	166	C-n:c
lin74	167	*-*:*-*-*-*
lin74	168	*-*:*:*-*-*-*-*
lin74	169	*-*:*:*:*:*-*:*
lin74	170	*=*-*-*-*-*-*
lin74	171	*:*-*-*-*-*:*
lin74	172	*:*-*-*-*-*:*:*
lin74	173	*:*-*:*:*:*:*:*
lin74	174	*-*:*-*-*-*-*
lin74	175	*-*:*:*-*=*
lin74	176	c:n:n:c
lin74	177	*=*-*-*-*-*:*
lin74	178	*=*-*-*-*-*:*:*
lin74	179	*-*-*:*:*:*-*:*
lin74	180	c-c:n
lin74	181	c:c-c:n
lin74	182	*-*:*-*=*
lin74	183	*-*-*:*:*-*:*
lin74	184	*-*-*:*:*-*:*:*
lin74	185	*-*:*-*-*=*
lin74	186	*-*:*:*-*-*=*
lin74	187	C-n:c:c
lin74	188	*=*-*-*-*-*-*:*
lin74	189	C-c:c:n
lin74	190	N-C-C-N
lin74	191	Cl
lin74	192	Cl-c
lin74	193	Cl-c:c
lin74	194	s
lin74	195	C-C-C-c
lin74	196	N-c:n
lin74	197	*-*-*:*:*:*-*=*
lin74	198	c:s
lin74	199	Cl-c:c:c
lin74	200	S-c:c
lin74	201	*-*-*:*:*-*-*-*
lin74	202	*=*-*:*:*:*:*:
lin74	203	F
lin74	204	C-O-C
lin74	205	*=*:*:*:*
lin74	206	c:s:c
lin74	207	*=*:*:*:*:*
lin74	208	*-*:*-*-*-*-*-*
lin74	209	C-c:c-C
lin74	210	c:c:c:c:c:n:
lin74	211	O=c
lin74	212	S-c:c:c
lin74	213	C-S
lin74	214	*=*:*:*:*:*:*
lin74	215	o
lin74	216	*-*-*-*:*:*-*:*
lin74	217	*-*:*:*-*-*-*:*
lin74	218	O=S
lin74	219	O=S=O
lin74	220	c:o
lin74	221	*-*-*-*-*:*-*-*
lin74	222	*-*-*:*-*-*-*
lin74	223	c:c:s
lin74	224	*=*-*-*-*-*-*-*
lin74	225	c-C-N-c
lin74	226	c:c:n:n
lin74	227	c:c:c:n:c:n:
lin74	228	c:c:s:c
lin74	229	O=c:c
lin74	230	*=*-*-*-*=*
lin74	231	C-C-O-C
lin74	232	*=*:*:*:*:*:*:
lin74	233	*-*:*-*-*-*:*
lin74	234	*-*:*-*-*-*:*:*
lin74	235	O=c:n
lin74	236	c-c:n:c
lin74	237	c:c-c:c
lin74	238	*-*-*-*:*-*-*-*
lin74	239	C-N-c:n
lin74	240	N-c:n:c
lin74	241	C-C-n
lin74	242	O=S-c
lin74	243	*-*-*:*:*-*=*
lin74	244	*:*-*-*:*
lin74	245	*:*:*-*-*:*:*
lin74	246	*:*-*-*:*:*:*:*
lin74	247	O=S-c:c
lin74	248	*:*:*-*-*:*:*:*
lin74	249	*:*-*-*:*:*:*
lin74	250	*:*-*-*:*:*
lin74	251	C-C-n:c
lin74	252	C-c:c-N
lin74	253	*-*:*-*:*:*:*
lin74	254	*-*:*-*:*:*
lin74	255	*-*:*-*:*
lin74	256	*-*:*-*:*:*:*:*
lin74	257	N-S
lin74	258	N-S=O
lin74	259	N-C-C-c
lin74	260	O=c:c:c
lin74	261	*-*:*-*-*-*=*
lin74	262	F-c:c
lin74	263	F-c
lin74	264	F-c:c:c
lin74	265	C-C-C-C-C-N-
lin74	266	N-C-C-O
lin74	267	O=c:n:c
lin74	268	*-*-*-*-*-
lin74	269	n:c:c:n
lin74	270	*-*-*:*-*-*-*-*
lin74	271	*=*:*:*:*:*:*:*
lin74	272	*-*:*:*:*:*:*=*
lin74	273	*:*:*-*-*-*:*
lin74	274	*:*:*:*-*-*-*:*
lin74	275	O-C=O
lin74	276	*-*-*:*-*-*=*
lin74	277	c:c:o
lin74	278	C-C-S
lin74	279	N-S-c
lin74	280	N-S-c:c
lin74	281	C-n:c:n
lin74	282	C-S-c
lin74	283	C-C-O-c
lin74	284	c:c:c:s
lin74	285	*-*:*:*-*-*-*=*
