inSmi	refIdx2	Sim
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	41	0.1663
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	49	0.1396
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	65	0.1273
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	30	0.1215
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	82	0.1199
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	89	0.1161
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	75	0.1152
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	61	0.1145
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	78	0.1126
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	66	0.0893
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	1	0.0886
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	33	0.0835
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	54	0.0826
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	2	0.0801
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	80	0.0792
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	68	0.0766
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	4	0.0746
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	74	0.0720
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	31	0.0699
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	100	0.0696
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	60	0.0687
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	17	0.0664
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	25	0.0647
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	92	0.0644
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	21	0.0641
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	9	0.0600
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	28	0.0592
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	7	0.0592
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	94	0.0589
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	5	0.0585
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	27	0.0567
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	76	0.0541
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	95	0.0529
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	37	0.0518
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	23	0.0515
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	47	0.0514
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	34	0.0509
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	14	0.0505
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	39	0.0505
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	35	0.0501
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	3	0.0483
