CTISMILES	_internalID_
c1cc(ccc1C(CO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl	CHEMBL2325737
CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)c2ccccc2[N+](=O)[O-])C(=O)OC	CHEMBL1726
CCc1c(c(n[nH]1)NC(=O)Cc2c(cc(cn2)Oc3ccnc4c3cc(c(c4)OCC)OC)OC)C	CHEMBL2023802
c1ccnc(c1)COc2ccc(cc2Cl)Nc3c4c(cccc4OC[C@H]5CCCN5C(=O)CO)ncn3	CHEMBL249927
COc1cc2c(cc1OC3CCN(CC3)CC(=O)N)c(ncn2)Nc4cccc(c4F)Cl	CHEMBL218677
c1ccc(c(c1)Nc2nnc(o2)C(=O)Nc3ccc(nc3)N4CCS(=O)CC4)F	CHEMBL2036575
COc1cc2c(cc1OCCCn3ccnc3)c(ncn2)Nc4ccc(c(c4)Cl)F	CHEMBL55424
CCn1c2ccccc2c3c1ccc(c3)NC(=O)c4cc(on4)C	CHEMBL1400083
C[C@@H](c1ccc(cc1)c2ccc(cc2F)F)N3CC[C@](OC3=O)(CCO)c4ccc(cc4)F	CHEMBL1829763
c1ccc(c(c1)c2cc(on2)CNS(=O)(=O)c3ccc(cc3)Cl)Cl	CHEMBL1526526
COc1ccc(cc1OC)CN2CCc3c4ccccc4[nH]c3C2	CHEMBL96076
c1cc(ccc1C[C@@H](C(=O)O)N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl)C#N	CHEMBL2158771
COc1cc2c(ccnc2cc1OC)Nc3ccc(cc3)Oc4ccccc4	CHEMBL535038
CC(C)Oc1ccc2c(c1)occ(c2=O)c3ccccc3	CHEMBL165790
CC(=O)N1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)c4cnc5n4cccc5F)Cl	CHEMBL1809198
Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(c(c3)Cl)N(C)C	CHEMBL433068
c1ccc2c(c1)c(nnc2Nc3ccc(cc3)Cl)Cc4ccncc4	CHEMBL101253
c1cc(cc(c1)F)C[C@@H](C(=O)O)N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl	CHEMBL2158840
CC(C)(C)NC(=O)Nc1ccc(cc1)c2c(nc(nc2N)N)COCc3ccccc3	CHEMBL212761
c1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccco3	CHEMBL1704805
Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCN(CC6)CC(CN7CCNCC7)O)C	CHEMBL401418
CC(C)N1c2ccccc2CC[C@H](C1=O)NC(=O)[C@@H](Cc3ccccc3OC(F)(F)F)NC(=O)OC(C)(C)C	CHEMBL247828
COc1cc(ccc1Nc2ncc(c(n2)c3cnc4n3cccc4)Cl)N5CC6CN(CC(C5)O6)CCO	CHEMBL1809059
CNC(=O)Cc1ccc2c(c1)nc(cc2O)c3cccnc3	CHEMBL1645494
c1ccc(cc1)COc2ccc(cc2)N	CHEMBL1351571
CN(C)S(=O)(=O)c1ccc(cc1)CC(=O)N(C)C2CCN(CC2)CCC(c3ccccc3)c4ccccc4	CHEMBL179858
c1cc(ccc1C(CS(=O)(=O)N)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl	CHEMBL2325733
COc1ccccc1C[C@@H](C(=O)O)N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl	CHEMBL2158775
COCCN1c2ccccc2CC(C1=O)NC(=O)c3cc4cc(sc4[nH]3)Cl	CHEMBL232432
CCOC(=O)C1CCN(CC1)c2c(c(ncn2)Oc3ccc(cc3)CCC(=O)C)[N+](=O)[O-]	CHEMBL452824
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)C(=O)NC	CHEMBL508129
Cc1ccc(cc1n2cnc3ccc(cc3c2=O)N4CCN(CC4)C)NC(=O)c5ccoc5	CHEMBL2031238
CN(C)CCCOc1cc2c(cc1OC)ncnc2Nc3ccc(c(c3)Cl)F	CHEMBL57990
CCN(C1CCN(CC1)CCC(c2ccccc2)c3ccccc3)C(=O)NCc4ccc(cc4)S(=O)(=O)C	CHEMBL182380
c1ccc(cc1)c2c(nc[nH]2)c3ccccc3	CHEMBL224554
CC(C)n1c2cn(cc2c(=O)n(c1=O)C)Cc3cccc4c3cccc4	CHEMBL84597
CC(C)(C)c1cc2nc3c(c(n2n1)O)CN(C3=O)Cc4ccccc4	CHEMBL1491421
c1ccc(cc1)n2c(c(cn2)C#N)NC(=O)CN3CCN(CC3)c4ccccc4	CHEMBL1311211
c1ccc(cc1)CNc2nc(nc(n2)Cl)N	CHEMBL1964629
c1cc(cc(c1)Cl)C(=O)N2CCC(CC2)C(=O)c3ccc(cc3)F	CHEMBL1163672
c1cc(ccc1C(CCCN2CCOCC2)NC(=O)C3(CCN(CC3)c4c5cc[nH]c5ncn4)N)Cl	CHEMBL2325995
C[C@@H](COC)Oc1cc(cc(c1)Oc2cccc(c2)OC)C(=O)Nc3ccc(cn3)C(=O)O	CHEMBL1778366
c1cc2ccc(nc2c(c1)Nc3ncccn3)N	CHEMBL117368
CS(=O)(=O)c1ccc2c(c1)c3c([nH]2)CCN(C3)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N	CHEMBL2163581
